IDTrack,t,y,x,IDCell
36,8,719.8309619548407,1316.687957521394,29
36,9,724.0812828601472,1321.272029442692,31
36,1,725.3290460878885,1320.259914255091,31
37,9,520.4524867477394,1059.3646710321173,23
37,1,505.55780095610606,1007.5428074750108,23
37,3,502.7748189177674,1023.4721157032619,24
37,2,501.5812425328554,1010.4277401654941,20
37,6,522.6781530918006,1043.3789158267502,25
37,5,517.201062215478,1035.560445118867,26
37,7,519.3030993618961,1051.249750401528,25
37,8,520.5778321108395,1052.2218011409943,22
37,0,495.5516238890273,1021.9813522717833,22
37,4,512.3644235082996,1027.0929564827277,25
38,3,869.2329583057577,489.9364659166115,41
38,7,862.2637716671204,484.98180415645703,42
38,9,863.1017008093071,487.4200177035913,39
38,6,865.92279871112,488.6387518905767,41
38,5,869.6210392179239,484.255905511811,42
38,4,869.9341172079135,481.6391564016424,41
38,8,865.1994509505221,484.2029737535307,39
38,1,871.6343905793364,482.8896768093519,39
38,0,871.5204658000619,508.3888888888889,38
38,2,871.758336357405,487.0696544494174,39
39,4,115.79791800815626,35.509057737711956,7
39,3,112.53774093543605,34.04800736846835,8
39,6,112.05961371229805,29.678543640441212,7
39,2,112.3094965402052,31.186041517537582,8
39,7,108.96543001686341,25.44080944350759,7
39,5,108.34272329282761,35.12141483572685,7
39,1,107.47070456217807,29.64661515820456,8
39,0,104.54164656697219,55.368306801736615,8
40,2,105.67161050466699,1015.2066128777093,7
40,5,111.19231459061967,993.4018025289212,8
40,0,116.82968935046004,1034.813382527102,9
40,4,115.37813211845102,994.3940774487471,8
40,1,121.32588116817725,1003.7290030211481,9
40,3,105.5894749234754,1013.5223294874813,7
40,6,114.96054807465156,992.8407748641624,8
40,7,114.58924325080432,990.1680654637012,8
41,6,607.636850921273,606.614405360134,32
41,7,603.3948968052022,609.0137828668363,30
41,2,605.8571256329877,628.8881520778073,28
41,3,604.6779884149552,620.1480102309487,32
41,1,606.3739420572916,639.1475423177084,29
41,4,605.1849355432781,615.3684346224677,32
41,5,605.9482015580971,607.0009116525774,33
41,0,604.2700979182094,669.0112317946187,28
41,8,593.319570170577,605.1479463021122,26
42,7,611.4880382775119,1325.2464114832535,32
42,6,594.4227414330219,1321.846261682243,28
42,5,582.3924302788845,1321.7314077025233,29
42,2,555.6892655367232,1322.9919962335216,24
42,3,563.2745198902606,1321.8112139917696,28
42,4,572.3512160228898,1321.5618741058656,28
43,2,265.7876589647143,529.9970087766434,11
43,0,263.53278044950434,568.9283704648805,12
43,7,257.7024482904179,526.4594484311243,12
43,4,268.69235329936225,525.5629747139698,12
43,5,264.8274281274281,529.0368764568765,14
43,1,264.3120966859893,538.2520872069707,13
43,3,264.5951174501892,529.4182384035532,11
43,6,258.10884687416393,529.9583965040578,12
44,4,8.399345335515548,703.2670485542826,1
44,5,5.369663556686457,709.8454905286967,1
44,1,8.012547977561264,718.7356067316209,1
44,2,9.156680932001901,708.6165002377556,1
44,0,9.927010148321623,750.7082078733133,1
44,3,8.483217592592593,707.6181712962963,1
45,4,18.02958579881657,889.4853628153223,2
45,5,15.508876173708918,899.7346684272301,2
45,3,20.222242358342395,884.3715114171802,2
45,1,28.75983252981477,890.9463334179143,2
45,0,27.27141735374951,914.0219473890852,2
45,2,27.669094730738568,887.2676306443431,2
46,1,258.13895352305946,1101.5231489767914,12
46,0,259.983483240148,1134.8121573076196,13
